Section,Question,Answer,processed_question
International Banking,what is a documentary collection?,"Documentary collection is a trade payment method where the exporter's bank forwards shipping documents to the importer's bank, releasing them only when the buyer pays or commits to pay.",documentary collection
International Banking,what is an lc at sight?,"A sight LC requires the importer's bank to pay immediately when the exporter presents the correct shipping documents, with no credit period.",lc sight
International Banking,what is a usance lc?,"A usance (deferred payment) LC allows the importer to pay after a set period (30, 60, or 90 days) after shipment documents are presented.",usance lc
International Banking,what is a bank guarantee in international trade?,"A bank guarantee assures the overseas buyer or seller that if the Indian party fails to meet its contractual commitment, the bank will pay the guaranteed amount.",bank guarantee international trade
International Banking,what is foreign currency non-repatriable (fcnr) vs nre?,"FCNR deposits are in foreign currency, protecting against exchange risk. NRE deposits are in rupees, so exchange rate applies on deposit and withdrawal.",foreign currency nonrepatriable fcnr vs nre
International Banking,what is the impact of rbi intervention in forex market?,RBI buys or sells dollars to manage extreme rupee volatility. Buying dollars weakens the rupee; selling dollars strengthens it.,impact rbi intervention forex market
International Banking,what is hawala?,"Hawala is an informal, illegal money transfer system operating outside the formal banking system. It's banned in India as it facilitates money laundering and tax evasion.",hawala
International Banking,what is money laundering?,"Money laundering is the process of disguising illegally obtained funds as legitimate income, often involving multiple bank transactions across countries.",money laundering
International Banking,what is a sanctions screening in banking?,"Banks screen transactions and customers against government and global sanction lists (OFAC, UN) to prevent financial dealings with sanctioned individuals or countries.",sanctions screening banking
International Banking,what is de-dollarization?,"De-dollarization is the effort by countries to reduce dependence on the US dollar for trade, reserves, and financial transactions, using local or alternative currencies instead.",dedollarization
International Banking,what is a digital currency for international payments?,"Central banks are exploring CBDCs for cross-border transactions that could be faster and cheaper than SWIFT, reducing reliance on correspondent banking.",digital currency international payments
International Banking,what is a currency peg?,A currency peg is when a country fixes its exchange rate to a major currency like the US dollar. It provides stability but limits monetary policy flexibility.,currency peg
International Banking,what is the special drawing right (sdr)?,"SDR is an international reserve asset created by the IMF. Its value is based on a basket of major currencies (USD, EUR, CNY, JPY, GBP). India holds SDRs as part of forex reserves.",special drawing right sdr
International Banking,what is the international monetary fund?,"The IMF is an international organization that provides financial assistance and policy advice to countries facing balance of payments crises, promoting global economic stability.",international monetary fund
International Banking,what is the world bank?,"The World Bank provides loans and grants to developing countries for development projects — infrastructure, education, health — to reduce poverty.",world bank
International Banking,what is adb?,"Asian Development Bank (ADB) provides loans, grants, and technical assistance to Asian countries, focusing on infrastructure, energy, and sustainable development.",adb
International Banking,what is the bis?,Bank for International Settlements (BIS) is a global institution owned by central banks that promotes international monetary cooperation and acts as a bank for central banks.,bis
International Banking,what is g20 and its banking relevance?,"G20 is a forum of the world's 20 largest economies. It discusses financial regulation, tax policy, global banking rules (Basel), and economic coordination between nations.",g20 banking relevance
International Banking,what is a bilateral currency swap?,A bilateral currency swap is an agreement between two central banks to exchange currencies up to a set limit to support each other during liquidity crises without needing US dollars.,bilateral currency swap
International Banking,what is a euro bond?,A eurobond is a bond issued by a company or government in a currency different from the country where it's issued — like an Indian company issuing USD bonds in London.,euro bond
